"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","source_file","source_line"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","D","26142","35997","Project / Programme Manager","1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts102"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","D","26142","35997","Quality & Evaluation Officer","2","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts103"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","E","19991","26507","PA","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts104"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","E","19991","26507","Senior Project / Programme Co-ordinator","1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts105"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","B","53308","73405","Head of Operational Intelligence","1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts106"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","C2","33830","46584","Senior Project / Progamme Manager","0.81","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts107"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","D","26142","35997","Operational Analyst","2","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts108"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","F","15377","20390","Project / Programme Co-ordinator","1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts109"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1020","Apprentice","9000","12000","Apprentice","1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts110"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1014","C1","43056","59289","Head of Childrens Services Research","1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts111"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1014","C1","43056","59289","Head of Knowledge & Learning","1","Knowledge and Information Management (KIM)","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts112"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1014","C1","43056","59289","Head of Policy","1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts113"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1014","C1","43056","59289","Head of School Leadership Research","1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts114"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1014","C2","33830","46584","Information & Knowledge Manager","2","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts115"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1014","C2","33830","46584","Research & Development Manager","2","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts116"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1014","D","26142","35997","Research and Development Officer","2","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts117"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1014","D","26142","35997","Web & Communications Manager","1.1","Operational Research","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts118"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1014","E","19991","26507","PA","1","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts119"
"Department for Education","National College for Leadership of Schools and Children's Services","Policy, Research & Development","NCSL-1014","E","19991","26507","Senior Project / Programme Co-ordinator","3.61","Operational Delivery","/data/nationalcollege/2011-03-31/National-College-as-at-31-March-2011.xls","juniorPosts120"
